bp	match_score	direction
0	40.108806	fwd_0
1	37.873218	fwd_0
2	41.667297	fwd_0
3	42.549686	fwd_0
4	43.383332	fwd_0
5	44.360937	fwd_0
6	51.807179	fwd_0
7	43.288390	fwd_0
8	38.051600	fwd_0
9	41.424796	fwd_0
10	37.833695	fwd_0
11	39.833290	fwd_0
12	40.897604	fwd_0
13	37.919376	fwd_0
14	38.077154	fwd_0
15	34.737765	fwd_0
16	35.510428	fwd_0
17	34.851386	fwd_0
18	37.386688	fwd_0
19	42.345777	fwd_0
20	45.470609	fwd_0
21	37.060176	fwd_0
22	39.637750	fwd_0
23	37.154951	fwd_0
24	32.278977	fwd_0
25	36.683933	fwd_0
26	36.999802	fwd_0
27	37.127393	fwd_0
28	39.426885	fwd_0
29	40.506222	fwd_0
30	34.025744	fwd_0
31	33.914081	fwd_0
32	38.370207	fwd_0
33	38.104347	fwd_0
34	41.315267	fwd_0
35	39.585016	fwd_0
36	36.959241	fwd_0
37	38.478760	fwd_0
38	39.506218	fwd_0
39	34.990290	fwd_0
40	37.082915	fwd_0
41	35.240736	fwd_0
42	32.704605	fwd_0
43	34.875676	fwd_0
44	32.790203	fwd_0
45	37.339665	fwd_0
46	36.895864	fwd_0
47	37.832015	fwd_0
48	40.345980	fwd_0
49	38.918382	fwd_0
50	37.062126	fwd_0
51	41.009234	fwd_0
52	39.545597	fwd_0
53	38.003166	fwd_0
54	38.397663	fwd_0
55	42.800553	fwd_0
56	42.415930	fwd_0
57	39.327243	fwd_0
58	43.358062	fwd_0
59	39.107323	fwd_0
60	39.716214	fwd_0
61	38.365132	fwd_0
62	38.518069	fwd_0
63	45.294247	fwd_0
64	45.672778	fwd_0
65	37.151582	fwd_0
66	35.617802	fwd_0
67	37.516539	fwd_0
68	35.348711	fwd_0
69	38.505217	fwd_0
70	37.095670	fwd_0
71	34.530622	fwd_0
72	34.885016	fwd_0
73	37.742464	fwd_0
74	41.754503	fwd_0
75	46.140189	fwd_0
0	38.895673	rev_0
1	33.942611	rev_0
2	37.039048	rev_0
3	38.484711	rev_0
4	42.460262	rev_0
5	40.729323	rev_0
6	47.520998	rev_0
7	42.964010	rev_0
8	39.840068	rev_0
9	39.138499	rev_0
10	36.967003	rev_0
11	37.276153	rev_0
12	39.548411	rev_0
13	36.375194	rev_0
14	35.818976	rev_0
15	39.058580	rev_0
16	39.700089	rev_0
17	42.389903	rev_0
18	42.824571	rev_0
19	45.393896	rev_0
20	46.593425	rev_0
21	40.684104	rev_0
22	39.574364	rev_0
23	33.688200	rev_0
24	35.119532	rev_0
25	35.139619	rev_0
26	38.792308	rev_0
27	40.945331	rev_0
28	42.583453	rev_0
29	40.605249	rev_0
30	38.440618	rev_0
31	38.234056	rev_0
32	36.580217	rev_0
33	41.822922	rev_0
34	39.836978	rev_0
35	34.738942	rev_0
36	35.702466	rev_0
37	36.359226	rev_0
38	35.569494	rev_0
39	33.553650	rev_0
40	34.679324	rev_0
41	34.715335	rev_0
42	32.711627	rev_0
43	33.207381	rev_0
