contig	coord	value	param
bgl_Shen2021	2	0.4	A/T_5bp
bgl_Shen2021	3	0.4	A/T_5bp
bgl_Shen2021	4	0.4	A/T_5bp
bgl_Shen2021	5	0.4	A/T_5bp
bgl_Shen2021	6	0.6	A/T_5bp
bgl_Shen2021	7	0.4	A/T_5bp
bgl_Shen2021	8	0.4	A/T_5bp
bgl_Shen2021	9	0.2	A/T_5bp
bgl_Shen2021	10	0.2	A/T_5bp
bgl_Shen2021	11	0.2	A/T_5bp
bgl_Shen2021	12	0.4	A/T_5bp
bgl_Shen2021	13	0.6	A/T_5bp
bgl_Shen2021	14	0.8	A/T_5bp
bgl_Shen2021	15	0.8	A/T_5bp
bgl_Shen2021	16	0.8	A/T_5bp
bgl_Shen2021	17	0.6	A/T_5bp
bgl_Shen2021	18	0.4	A/T_5bp
bgl_Shen2021	19	0.2	A/T_5bp
bgl_Shen2021	20	0.2	A/T_5bp
bgl_Shen2021	21	0.2	A/T_5bp
bgl_Shen2021	22	0.4	A/T_5bp
bgl_Shen2021	23	0.6	A/T_5bp
bgl_Shen2021	24	0.8	A/T_5bp
bgl_Shen2021	25	1.0	A/T_5bp
bgl_Shen2021	26	1.0	A/T_5bp
bgl_Shen2021	27	0.8	A/T_5bp
bgl_Shen2021	28	0.6	A/T_5bp
bgl_Shen2021	29	0.6	A/T_5bp
bgl_Shen2021	30	0.4	A/T_5bp
bgl_Shen2021	31	0.2	A/T_5bp
bgl_Shen2021	32	0.4	A/T_5bp
bgl_Shen2021	33	0.6	A/T_5bp
bgl_Shen2021	34	0.4	A/T_5bp
bgl_Shen2021	35	0.6	A/T_5bp
bgl_Shen2021	36	0.8	A/T_5bp
bgl_Shen2021	37	0.6	A/T_5bp
bgl_Shen2021	38	0.4	A/T_5bp
bgl_Shen2021	39	0.6	A/T_5bp
bgl_Shen2021	40	0.4	A/T_5bp
bgl_Shen2021	41	0.2	A/T_5bp
bgl_Shen2021	42	0.4	A/T_5bp
bgl_Shen2021	43	0.4	A/T_5bp
bgl_Shen2021	44	0.4	A/T_5bp
bgl_Shen2021	45	0.4	A/T_5bp
bgl_Shen2021	46	0.6	A/T_5bp
bgl_Shen2021	47	0.4	A/T_5bp
bgl_Shen2021	48	0.4	A/T_5bp
bgl_Shen2021	49	0.2	A/T_5bp
bgl_Shen2021	50	0.4	A/T_5bp
bgl_Shen2021	51	0.2	A/T_5bp
bgl_Shen2021	52	0.4	A/T_5bp
bgl_Shen2021	53	0.6	A/T_5bp
bgl_Shen2021	54	0.8	A/T_5bp
bgl_Shen2021	55	0.8	A/T_5bp
bgl_Shen2021	56	1.0	A/T_5bp
bgl_Shen2021	57	0.8	A/T_5bp
bgl_Shen2021	58	0.6	A/T_5bp
bgl_Shen2021	59	0.4	A/T_5bp
bgl_Shen2021	60	0.2	A/T_5bp
bgl_Shen2021	61	0.0	A/T_5bp
bgl_Shen2021	62	0.2	A/T_5bp
bgl_Shen2021	63	0.4	A/T_5bp
bgl_Shen2021	64	0.6	A/T_5bp
bgl_Shen2021	65	0.8	A/T_5bp
bgl_Shen2021	66	0.8	A/T_5bp
bgl_Shen2021	67	0.6	A/T_5bp
bgl_Shen2021	68	0.6	A/T_5bp
bgl_Shen2021	69	0.4	A/T_5bp
bgl_Shen2021	70	0.2	A/T_5bp
bgl_Shen2021	71	0.4	A/T_5bp
bgl_Shen2021	72	0.6	A/T_5bp
bgl_Shen2021	73	0.6	A/T_5bp
bgl_Shen2021	74	0.8	A/T_5bp
bgl_Shen2021	75	1.0	A/T_5bp
bgl_Shen2021	76	1.0	A/T_5bp
bgl_Shen2021	77	1.0	A/T_5bp
bgl_Shen2021	78	1.0	A/T_5bp
bgl_Shen2021	79	1.0	A/T_5bp
bgl_Shen2021	80	1.0	A/T_5bp
bgl_Shen2021	81	1.0	A/T_5bp
bgl_Shen2021	82	1.0	A/T_5bp
bgl_Shen2021	83	1.0	A/T_5bp
bgl_Shen2021	84	1.0	A/T_5bp
bgl_Shen2021	85	0.8	A/T_5bp
bgl_Shen2021	86	0.8	A/T_5bp
bgl_Shen2021	87	0.6	A/T_5bp
bgl_Shen2021	88	0.6	A/T_5bp
bgl_Shen2021	89	0.6	A/T_5bp
bgl_Shen2021	90	0.6	A/T_5bp
bgl_Shen2021	91	0.6	A/T_5bp
