bp	match_score	direction
0	43.280223	fwd_0
1	46.421527	fwd_0
2	41.125839	fwd_0
3	41.465260	fwd_0
4	37.774510	fwd_0
5	34.376657	fwd_0
6	39.822887	fwd_0
7	43.650869	fwd_0
8	43.246419	fwd_0
9	39.565595	fwd_0
10	32.871615	fwd_0
11	34.600450	fwd_0
12	33.311217	fwd_0
13	32.903661	fwd_0
14	34.845959	fwd_0
15	28.554504	fwd_0
16	33.537512	fwd_0
17	32.858337	fwd_0
18	31.186017	fwd_0
19	31.581105	fwd_0
20	28.695019	fwd_0
21	28.494041	fwd_0
22	34.247073	fwd_0
23	33.902635	fwd_0
24	31.232057	fwd_0
25	32.497730	fwd_0
26	31.837237	fwd_0
27	30.696691	fwd_0
28	35.142493	fwd_0
29	31.145878	fwd_0
30	29.562018	fwd_0
31	31.247553	fwd_0
32	35.073420	fwd_0
33	42.513749	fwd_0
34	40.573599	fwd_0
35	39.875590	fwd_0
36	36.882248	fwd_0
37	36.037243	fwd_0
38	44.028651	fwd_0
39	48.029959	fwd_0
40	41.809660	fwd_0
41	35.848549	fwd_0
42	30.466966	fwd_0
43	30.264135	fwd_0
44	30.995220	fwd_0
45	40.072142	fwd_0
46	40.260216	fwd_0
47	37.244403	fwd_0
48	34.234957	fwd_0
49	34.443617	fwd_0
50	39.161943	fwd_0
51	34.021801	fwd_0
52	31.687479	fwd_0
53	33.569597	fwd_0
54	33.763941	fwd_0
55	36.491063	fwd_0
56	40.364082	fwd_0
57	36.019185	fwd_0
58	33.809061	fwd_0
59	30.702651	fwd_0
60	32.393697	fwd_0
61	37.208810	fwd_0
62	40.102879	fwd_0
63	41.648481	fwd_0
64	37.708841	fwd_0
65	40.002644	fwd_0
66	37.274307	fwd_0
67	39.383751	fwd_0
68	41.681141	fwd_0
69	36.051329	fwd_0
70	35.810201	fwd_0
71	36.209526	fwd_0
72	37.603672	fwd_0
73	37.399141	fwd_0
74	32.089602	fwd_0
75	29.488081	fwd_0
0	43.550077	rev_0
1	44.627029	rev_0
2	38.547800	rev_0
3	37.592508	rev_0
4	39.724147	rev_0
5	40.296043	rev_0
6	46.636733	rev_0
7	46.059616	rev_0
8	38.397318	rev_0
9	37.544960	rev_0
10	33.407481	rev_0
11	31.570797	rev_0
12	37.659565	rev_0
13	32.450161	rev_0
14	32.051219	rev_0
15	32.654324	rev_0
16	29.431742	rev_0
17	34.269188	rev_0
18	33.617336	rev_0
19	31.452709	rev_0
20	30.229610	rev_0
21	29.086771	rev_0
22	33.832764	rev_0
23	27.555760	rev_0
24	28.891966	rev_0
25	31.782315	rev_0
26	34.656025	rev_0
27	38.433595	rev_0
28	41.007638	rev_0
29	39.265012	rev_0
30	35.671950	rev_0
31	35.764136	rev_0
32	37.848142	rev_0
33	40.667828	rev_0
34	39.319824	rev_0
35	35.435175	rev_0
36	35.334075	rev_0
37	36.020194	rev_0
38	40.744515	rev_0
39	43.433040	rev_0
40	35.491054	rev_0
41	33.207045	rev_0
42	31.779076	rev_0
43	34.824273	rev_0
44	39.664495	rev_0
45	41.206892	rev_0
46	38.934174	rev_0
47	36.476726	rev_0
48	33.089278	rev_0
49	36.033067	rev_0
50	34.325685	rev_0
51	33.109000	rev_0
52	30.623034	rev_0
53	31.577926	rev_0
54	38.192217	rev_0
55	38.780095	rev_0
56	40.599599	rev_0
57	32.879264	rev_0
58	32.498344	rev_0
59	34.311953	rev_0
60	36.431578	rev_0
61	43.983691	rev_0
62	39.127688	rev_0
63	36.067443	rev_0
64	30.313657	rev_0
65	26.370266	rev_0
66	32.142121	rev_0
67	38.375404	rev_0
68	36.188045	rev_0
69	36.607219	rev_0
70	38.113090	rev_0
71	35.787175	rev_0
72	45.051342	rev_0
73	41.995407	rev_0
74	36.168348	rev_0
75	41.408096	rev_0
0	37.746806	fwd_1
1	34.850943	fwd_1
2	34.347817	fwd_1
3	36.079136	fwd_1
4	31.312402	fwd_1
5	35.628264	fwd_1
6	36.024496	fwd_1
7	36.727069	fwd_1
8	32.315235	fwd_1
9	31.812177	fwd_1
10	36.849050	fwd_1
11	36.873586	fwd_1
12	35.626689	fwd_1
13	37.902157	fwd_1
14	33.758783	fwd_1
15	36.199483	fwd_1
16	38.513764	fwd_1
17	40.946444	fwd_1
18	39.265610	fwd_1
19	34.302262	fwd_1
20	33.665672	fwd_1
21	34.363465	fwd_1
22	30.686069	fwd_1
23	35.466352	fwd_1
24	37.431380	fwd_1
25	32.183604	fwd_1
26	34.696661	fwd_1
27	38.825132	fwd_1
28	40.831161	fwd_1
29	44.631460	fwd_1
30	40.974998	fwd_1
31	42.201193	fwd_1
32	45.287005	fwd_1
33	41.259297	fwd_1
34	43.827061	fwd_1
35	44.205858	fwd_1
36	43.940665	fwd_1
37	44.329147	fwd_1
38	39.349360	fwd_1
39	33.813716	fwd_1
40	36.103745	fwd_1
41	35.640182	fwd_1
42	36.134393	fwd_1
43	33.276471	fwd_1
44	33.758791	fwd_1
45	34.736446	fwd_1
46	34.502354	fwd_1
47	34.759870	fwd_1
48	30.457953	fwd_1
49	34.120660	fwd_1
50	39.551723	fwd_1
51	37.648853	fwd_1
52	37.467857	fwd_1
53	32.825535	fwd_1
54	32.011809	fwd_1
55	35.549692	fwd_1
56	37.487113	fwd_1
57	40.662365	fwd_1
58	40.564479	fwd_1
59	38.881597	fwd_1
60	37.271759	fwd_1
61	40.088594	fwd_1
62	41.497058	fwd_1
63	41.314007	fwd_1
64	42.287048	fwd_1
65	37.487849	fwd_1
66	38.694903	fwd_1
67	38.116800	fwd_1
68	35.342764	fwd_1
69	31.265866	fwd_1
70	25.231484	fwd_1
71	33.715038	fwd_1
72	33.708905	fwd_1
73	29.205843	fwd_1
74	32.719095	fwd_1
75	32.557710	fwd_1
0	35.376121	rev_1
1	31.251764	rev_1
2	29.732944	rev_1
3	33.822775	rev_1
4	31.851709	rev_1
5	28.492053	rev_1
6	32.326368	rev_1
7	29.720839	rev_1
8	28.436607	rev_1
9	30.098863	rev_1
10	31.305359	rev_1
11	39.838251	rev_1
12	35.010930	rev_1
13	37.227577	rev_1
14	37.109265	rev_1
15	35.865837	rev_1
16	39.616103	rev_1
17	40.937740	rev_1
18	36.206123	rev_1
19	34.518418	rev_1
20	33.547364	rev_1
21	38.414174	rev_1
22	42.003403	rev_1
23	41.825075	rev_1
24	43.554743	rev_1
25	41.752625	rev_1
26	39.021401	rev_1
27	39.837098	rev_1
28	37.076848	rev_1
29	38.670037	rev_1
30	35.122581	rev_1
31	36.322922	rev_1
32	42.721841	rev_1
33	40.831575	rev_1
34	40.528074	rev_1
35	42.402774	rev_1
36	40.065288	rev_1
37	41.039837	rev_1
38	38.495034	rev_1
39	32.790138	rev_1
40	37.110980	rev_1
41	35.450689	rev_1
42	39.241149	rev_1
43	36.389671	rev_1
44	34.875239	rev_1
45	36.582194	rev_1
46	34.660580	rev_1
47	33.036930	rev_1
48	33.339429	rev_1
49	35.032196	rev_1
50	35.990788	rev_1
51	35.892396	rev_1
52	37.775776	rev_1
53	36.827554	rev_1
54	40.808746	rev_1
55	43.660797	rev_1
56	45.382333	rev_1
57	48.075464	rev_1
58	42.113018	rev_1
59	35.200169	rev_1
60	35.267285	rev_1
61	36.832032	rev_1
62	37.176775	rev_1
63	37.191545	rev_1
64	36.121454	rev_1
65	35.709074	rev_1
66	36.424959	rev_1
67	38.176511	rev_1
68	37.236247	rev_1
69	33.310362	rev_1
70	32.239712	rev_1
71	34.081273	rev_1
72	36.027534	rev_1
73	34.772581	rev_1
74	33.595717	rev_1
75	33.320853	rev_1
0	38.121023	fwd_2
1	40.609288	fwd_2
2	37.203907	fwd_2
3	35.894766	fwd_2
4	39.172744	fwd_2
5	37.122514	fwd_2
6	41.606248	fwd_2
7	41.474780	fwd_2
8	41.549698	fwd_2
9	44.774478	fwd_2
10	41.714693	fwd_2
11	32.243684	fwd_2
12	29.471118	fwd_2
13	26.214796	fwd_2
14	28.245628	fwd_2
15	36.451445	fwd_2
16	34.975993	fwd_2
17	34.872069	fwd_2
18	34.108969	fwd_2
19	29.918394	fwd_2
20	27.946530	fwd_2
21	25.987904	fwd_2
22	30.781984	fwd_2
23	33.264841	fwd_2
24	34.973791	fwd_2
25	39.307569	fwd_2
26	34.733592	fwd_2
27	35.286516	fwd_2
28	42.183987	fwd_2
29	42.663391	fwd_2
30	39.665678	fwd_2
31	40.524941	fwd_2
32	37.186609	fwd_2
33	38.283276	fwd_2
34	42.594641	fwd_2
35	45.815532	fwd_2
36	44.159730	fwd_2
37	37.767433	fwd_2
38	38.767660	fwd_2
