bp	match_score	direction
0	28.844407	fwd
1	29.010810	fwd
2	34.218121	fwd
3	35.219989	fwd
4	33.581072	fwd
5	31.634820	fwd
6	27.487300	fwd
7	29.613421	fwd
8	30.607520	fwd
9	30.007784	fwd
10	33.286648	fwd
11	33.958751	fwd
12	35.289099	fwd
13	33.224627	fwd
14	35.547562	fwd
15	37.488009	fwd
16	40.381231	fwd
17	41.751397	fwd
18	43.423974	fwd
19	41.990755	fwd
20	35.566929	fwd
21	32.945609	fwd
22	29.395304	fwd
23	31.546653	fwd
24	33.576380	fwd
25	30.536626	fwd
26	33.216081	fwd
27	33.179870	fwd
28	28.867579	fwd
29	30.203678	fwd
30	34.288546	fwd
31	39.238777	fwd
32	36.734955	fwd
33	32.005798	fwd
34	30.236183	fwd
35	31.651984	fwd
36	32.903948	fwd
37	38.362569	fwd
38	44.187161	fwd
39	44.951477	fwd
40	44.999992	fwd
41	40.361320	fwd
42	34.747381	fwd
43	36.401987	fwd
44	37.203585	fwd
45	36.172336	fwd
46	34.234854	fwd
47	37.098635	fwd
48	37.055845	fwd
49	39.598167	fwd
50	43.347675	fwd
51	43.914024	fwd
52	34.706414	fwd
53	27.548191	fwd
54	31.672901	fwd
55	37.098661	fwd
56	43.008594	fwd
57	44.086410	fwd
58	45.642829	fwd
59	47.823023	fwd
60	46.999318	fwd
61	46.885524	fwd
62	43.327320	fwd
63	42.359316	fwd
64	44.603807	fwd
65	44.971924	fwd
66	42.451230	fwd
67	34.054100	fwd
68	28.542440	fwd
69	26.363423	fwd
70	25.022155	fwd
71	27.045036	fwd
72	35.520562	fwd
73	42.873460	fwd
74	43.064388	fwd
75	41.001785	fwd
0	31.372666	rev
1	30.578091	rev
2	34.569832	rev
3	40.556669	rev
4	36.417404	rev
5	31.246077	rev
6	29.955966	rev
7	32.908796	rev
8	36.777713	rev
9	37.859491	rev
10	41.143267	rev
11	38.539849	rev
12	35.407747	rev
13	35.075554	rev
14	35.218633	rev
15	34.313070	rev
16	34.892032	rev
17	34.435118	rev
18	34.814023	rev
19	32.954643	rev
20	30.511725	rev
21	31.957293	rev
22	34.973223	rev
23	36.253647	rev
24	35.076347	rev
25	32.515868	rev
26	32.174718	rev
27	32.932148	rev
28	31.594396	rev
29	33.157289	rev
30	37.239381	rev
31	39.940733	rev
32	35.184228	rev
33	32.209173	rev
34	34.808214	rev
35	36.887023	rev
36	39.979370	rev
37	41.623477	rev
38	38.032860	rev
39	37.175775	rev
40	34.151745	rev
41	31.137334	rev
42	31.334983	rev
43	34.137502	rev
44	37.633686	rev
45	37.207348	rev
46	36.021775	rev
47	38.778773	rev
48	41.004027	rev
49	45.564624	rev
50	45.070950	rev
51	41.763103	rev
52	40.004029	rev
53	42.128941	rev
54	46.676521	rev
55	50.309262	rev
56	51.331410	rev
57	49.273552	rev
58	43.930894	rev
59	40.921003	rev
60	35.019021	rev
61	30.707926	rev
62	31.004324	rev
63	32.560637	rev
64	35.441510	rev
65	37.610790	rev
66	37.366926	rev
67	33.697376	rev
68	32.902050	rev
69	37.123397	rev
70	43.572855	rev
71	43.965674	rev
72	45.288095	rev
73	44.821553	rev
74	37.863482	rev
75	33.158041	rev
